reit_name,location,asset_type,cap_rate_pct,occupancy
アドバンス・レジデンス投資法人,大阪府大阪市西区江戸堀二丁目２番５号,不動産,,97.7
アドバンス・レジデンス投資法人,大阪府大阪市西区新町三丁目11番７号,信託受益権,,93.3
アドバンス・レジデンス投資法人,大阪府大阪市都島区毛馬町二丁目３番８号（Ⅰ）、９号（Ⅱ）,不動産,,96.7
アドバンス・レジデンス投資法人,大阪府大阪市東成区玉津一丁目４番21号,不動産,,95.9
アドバンス・レジデンス投資法人,大阪府大阪市西区京町堀二丁目２番６号,不動産,,94.4
アドバンス・レジデンス投資法人,大阪府大阪市北区天神橋三丁目10番18号,信託受益権,,94.7
アドバンス・レジデンス投資法人,大阪府大阪市旭区赤川二丁目５番13号,信託受益権,,94.2
アドバンス・レジデンス投資法人,大阪府大阪市西区靱本町一丁目10番26号,不動産,,92.8
アドバンス・レジデンス投資法人,大阪府大阪市中央区十二軒町７番１号,不動産,,94.1
アドバンス・レジデンス投資法人,大阪府大阪市北区西天満三丁目３番21,不動産,,97.5
アドバンス・レジデンス投資法人,大阪府大阪市淀川区宮原一丁目13番９号,不動産,,100.0
いちごホテルリート投資法人,大阪府大阪市中央区東心斎橋一丁目15番15号,不動産信託受益権,,
いちごホテルリート投資法人,大阪府大阪市中央区博労町二丁目３番８号,不動産信託受益権,,
サムティ・レジデンシャル投資法人,大阪府大阪市此花区西九条三丁目４番66,,,
大和ハウスリート投資法人,大阪府大阪市中央区玉造一丁目540番１,,,
いちごオフィスリート投資法人,大阪府大阪市北区松ケ枝町１番３号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,大阪府大阪市中央区本町一丁目６番16号,不動産信託受益権,,93.3
いちごオフィスリート投資法人,大阪府大阪市中央区内本町一丁目３番５号,不動産信託受益権,,96.1
平和不動産リート投資法人,大阪府大阪市中央区北浜一丁目29番１他７筆,,,
平和不動産リート投資法人,大阪府大阪市中央区北浜二丁目85番３他２筆,,,
平和不動産リート投資法人,大阪府大阪市西区京町堀一丁目158番１,,,
平和不動産リート投資法人,大阪府大阪市中央区久太郎町一丁目58番他３筆,,,
